Data,Cod. PV,GBLU,GAS,BSP
42371,13846,,6,4
42371,1676,,11,4
42371,52863,,5,5
42371,51568,6,30,
42371,53667,,12,7
42371,56835,,30,7
42371,6357,,2,2
42371,3809,,2,1
42371,3816,5,22,8
42371,55557,2,9,7
42371,3893,,3,1
42371,51725,2,12,10
42371,12103,,10,5
42371,2692,,5,
42371,13763,,4,2
42371,1678,6,24,6
42371,3777,2,10,3
42371,13833,3,15,5
42371,25501,,36,
42371,2052,,6,3
42371,12117,,5,3
42371,2141,,10,5
42371,52420,,5,5
42371,13855,2,22,12
42371,2075,,9,3
42371,13495,,3,2
42371,6403,3,8,5
42371,22932,6,12,20
42371,22932,,36,
42371,22973,2,4,2
42371,1718,,11,2
42371,1694,1,4,4
42371,3817,,5,4
42371,6292,,3,3
42371,13792,1,4,2
42371,1658,,7,10
42371,1693,,5,3
42371,13548,,16,10
42371,13810,,2,1
42371,3853,,4,2
42371,6337,,9,6
42371,1727,,3,
42371,13820,,29,8
42371,13840,,20,5
42371,25554,3,25,8
42371,6290,3,20,12
42371,3487,,5,2
42371,2990,,8,3
42371,13527,,5,1
42371,6257,,3,3
42371,2143,5,21,11
42371,11719,3,15,3
42371,22966,,10,5
42371,12107,2,10,6
42371,12052,,6,4
42371,6244,2,9,6
42371,12967,,3,2
42371,6358,,6,1
42371,13857,,7,3
42371,2074,,17,3
42371,6249,,25,12
42371,5586,1,1,2
42371,13755,,4,3
42373,53171,,6,4
42373,11725,,10,3
42373,13846,,8,4
42373,1676,2,10,3
42373,5530,3,15,7
42373,11734,,6,3
42373,52399,,6,3
42373,54479,,5,2
42373,51568,,35,
42373,13461,,9,2
42373,53667,,15,5
42373,13859,1,7,2
42373,55567,,2,1
42373,58414,,12,
42373,53216,,7,5
42373,56835,,30,7
42373,11958,2,12,5
42373,53730,,9,
42373,55422,2,18,5
42373,6204,2,14,8
42373,3896,,4,
42373,3816,,12,
42373,3809,,2,1
42373,2963,2,6,6
42373,12115,,5,2
42373,3550,,12,2
42373,2021,,10,5
42373,11964,2,3,2
42373,59213,2,10,3
42373,2698,4,4,
42373,12105,,3,1
42373,6466,,3,3
42373,53221,,9,13
42373,11674,,6,3
42373,12103,,10,3
42373,2098,2,9,5
42373,12114,2,6,5
42373,2946,,6,6
42373,56388,2,5,2
