Data,Cod. PV,GBLU,GAS,BSP,
42737,53171,,4,2,
42737,5543,,4,1,
42737,13846,,10,5,
42737,1676,,8,3,
42737,5530,,14,5,
42737,11734,,6,2,
42737,52399,,6,3,
42737,3895,,13,5,
42737,51568,,26,6,
42737,6351,,7,2,
42737,54593,,15,3,
42737,55567,,3,1,
42737,58414,,24,8,
42737,53216,,12,6,
42737,56835,,30,7,
42737,11958,,6,,
42737,16462,,17,5,
42737,55422,,15,4,
42737,53730,,26,8,
42737,13495,,3,1,
42737,6357,,3,,
42737,12103,,12,5,
42737,3896,,10,5,
42737,56011,,22,13,
42737,1688,,3,1,
42737,12115,,5,2,
42737,3550,,12,,
42737,2036,,8,2,
42737,1736,,8,5,
42737,55420,,13,,
42737,2989,,4,2,
42737,12105,,5,2,
42737,53221,,5,5,
42737,2098,,9,4,
42737,12114,,13,8,
42737,56388,,2,,
42737,25555,,14,2,
42737,5589,,5,3,
42737,57273,,12,5,
42737,11731,,10,2,
42737,25556,,7,,
42737,11723,,5,,
42737,12052,,7,5,
42737,2138,,5,1,
42737,25510,,8,8,
42737,1678,,12,3,
42737,2111,,14,8,
42737,12060,,3,2,
42737,2672,,2,2,
42737,11766,,12,4,
42737,57601,,6,3,
42737,1717,,4,,
42737,25501,,24,6,
42737,2102,,28,8,
42737,12112,,30,5,
42737,16445,,5,2,
42737,5529,,6,6,
42737,57208,,8,,
42737,2974,,10,5,
42737,25534,,9,4,
42737,53490,,10,3,
42737,3809,,2,1,
42737,6231,,11,4,
42737,53514,,5,5,
42737,6257,,2,,
42737,2075,,16,8,
42737,6403,,22,8,
42737,22932,,28,8,
42737,16444,,10,7,
42737,1718,,12,4,
42737,51700,,4,2,
42737,5868,,8,3,
42737,52494,,4,2,
42737,2030,,6,3,
42737,57598,,8,4,
42737,51024,,5,5,
42737,25568,,10,4,
42737,1968,,16,5,
42737,2060,,3,3,
42737,5518,,1,1,
42737,55924,,7,3,
42737,51755,,4,2,
42737,54341,,9,4,
42737,6248,,5,1,
42737,1743,,5,4,
42737,55973,,10,8,
42737,13792,,10,4,
42737,1658,,10,6,
42737,13823,2,32,2,
42737,22983,,8,3,
42737,15523,,5,5,
42737,6370,,3,,
42737,13810,,5,3,
42737,3853,,5,3,
42737,55602,,3,3,
42737,2996,,12,6,
42737,6334,,15,5,
42737,54498,,6,,
42737,13840,,15,,
42737,13820,,30,6,
42737,22967,,8,4,
42737,22975,,13,4,
42737,2990,,11,3,
42737,25565,,15,2,
42737,13527,,13,7,
42737,2062,,4,2,
42737,6253,,6,6,
42737,12072,,4,3,
42737,22984,,3,3,
42737,2142,,6,6,
42737,6359,,2,2,
42737,25575,,10,3,
42737,2143,,12,4,
42737,11719,,10,2,
42737,52431,,6,3,
42737,3793,,6,2,
42737,2024,,6,2,
42737,22966,,5,2,
42737,1964,,2,1,
42737,1762,,4,3,
42737,11750,,9,4,
42737,12107,,10,4,
42737,2094,,14,7,
42737,6366,,4,3,
42737,51704,,12,2,
42737,2113,,6,,
42737,11973,,6,3,
42737,5505,,10,6,
42737,6224,,18,4,
42737,2097,,10,4,
42737,22979,,16,8,
42737,12698,,5,,
42737,13857,,6,4,
42737,22968,,18,11,
42737,2994,,10,5,
42737,22963,,5,2,
42737,2109,,10,6,
42737,6249,,20,10,
42737,25548,,6,4,
42737,11667,,6,2,
42737,6337,,17,10,
42737,6304,,36,,
42737,56057,,11,13,
42737,5586,,3,1,
42737,11971,,7,3,
42737,13755,,7,2,
42737,5591,,,7,
42737,6219,,10,10,
42738,1676,,8,3,
42738,1955,,5,,
42738,12108,,6,4,
42738,54479,,3,,
42738,53667,,14,10,
42738,12101,,25,10,
42738,54593,,,,
42738,55567,,3,,
42738,3496,,23,11,
42738,22985,,5,4,
42738,55422,,,,
42738,6357,,2,1,
42738,56011,,,,
42738,55557,,10,8,
42738,53306,,8,3,
42738,3893,,5,5,
42738,51725,,16,8,
42738,6259,,,,
42738,6466,,,,
42738,12073,,4,3,
42738,6264,,3,2,
42738,2692,,5,,
42738,56388,,4,1,
42738,11723,,,2,
42738,12052,,2,2,
42738,6447,,4,4,
42738,1678,,12,6,
42738,2053,,6,2,
42738,6377,,6,2,
42738,16454,,7,1,
42738,57601,,5,,
42738,13501,,6,5,
42738,6203,,3,2,
42738,54380,,10,,
42738,6363,,10,10,
42738,5579,,16,11,
42738,6416,,6,4,
42738,13855,,21,12,
42738,53514,,,,
42738,22932,,23,11,
42738,51516,,7,2,
42738,6428,,12,6,
42738,1671,,10,2,
42738,1718,,9,2,
42738,6369,,6,,
42738,3835,,8,2,
42738,53242,,4,4,
42738,51226,,2,1,
42738,57598,,6,1,
42738,1694,,4,3,
42738,16435,,4,,
42738,51024,,3,,
42738,3817,,5,,
42738,11951,,,,
42738,2060,,,,
42738,53493,,4,1,
42738,16408,,6,2,
42738,54385,,7,2,
42738,52889,,,,
42738,6408,,,1,
42738,53206,,1,1,
42738,52982,,3,2,
42738,52510,,4,3,
42738,2963,,7,7,
42738,6248,,3,,
42738,2700,,6,2,
42738,6381,,8,2,
42738,56581,,,,
42738,2970,,5,2,
42738,13848,,10,5,
42738,6204,,8,4,
42738,6204,,12,,
42738,1727,,8,4,
42738,25542,,5,2,
42738,25554,,25,8,
42738,6290,,11,3,
42738,22967,,,,
42738,3831,,13,6,
42738,5536,,12,14,
42738,5588,,14,6,
42738,11719,,18,2,
42738,2945,,5,2,
42738,58000,,1,1,
42738,12107,,8,2,
42738,57595,,9,4,
42738,57056,,5,4,
42738,25571,,7,6,
42738,6244,,10,4,
42738,12967,,5,2,
42738,3887,,6,3,
42738,6358,,,2,
42738,12697,,4,3,
42738,22963,,2,,
42738,6373,,26,6,
42738,2074,,20,,
42738,12942,,4,2,
42738,6249,,11,,
42738,15501,,8,4,
42738,11964,,3,1,
42738,5591,,10,,
42739,53171,,4,,
42739,11725,,25,5,
42739,13846,,9,4,
42739,1676,,20,7,
42739,54479,,4,,
42739,55702,,13,8,
42739,6270,,8,6,
42739,13859,,7,3,
42739,58414,,10,,
42739,11975,,6,3,
42739,55422,,10,,
42739,53730,,,,
42739,6357,,3,,
42739,12103,,13,6,
42739,3825,,15,5,
42739,1688,,5,2,
42739,51725,,,,
42739,2036,,5,,
42739,16447,,14,6,
42739,12105,,6,2,
42739,6466,,2,2,
42739,11674,,7,3,
42739,6264,,2,2,
42739,2946,,8,8,
42739,56388,,2,,
42739,1787,,5,3,
42739,13763,,6,3,
42739,25556,,7,2,
42739,5535,,8,6,
42739,1678,,10,3,
42739,2111,,,,
42739,57601,,6,2,
42739,56554,,16,8,
42739,54380,,,8,
42739,25501,,36,,
42739,6303,,5,3,
42739,6437,,8,8,
42739,57842,,10,4,
42739,57208,,8,8,
42739,55905,,13,6,
42739,52420,,9,4,
42739,57835,,20,7,
42739,53490,,14,3,
42739,3809,,2,1,
42739,53514,,6,6,
42739,6257,,2,1,
42739,55942,,3,2,
42739,22932,,28,8,
42739,1718,,8,2,
42739,6263,,3,,
42739,57598,,,,
42739,5514,,8,6,
42739,3817,,10,2,
42739,2060,,6,,
42739,6451,,6,2,
42739,16408,,4,,
42739,6405,,5,2,
42739,52410,,5,1,
42739,25549,,36,,
42739,51743,,5,8,
42739,52510,,4,4,
42739,51755,,4,1,
42739,6376,,19,8,
42739,6248,,1,1,
42739,56381,,12,5,
42739,1658,,15,3,
42739,1693,,5,2,
42739,13548,,25,12,
42739,52652,,12,3,
42739,13856,,3,2,
42739,13810,,4,2,
42739,13820,,36,,
42739,56976,,,,
42739,59894,,,,
42739,2702,,18,12,
42739,13534,,10,6,
42739,2062,,2,2,
42739,3777,,9,2,
42739,1970,,8,5,
42739,1964,,1,1,
42739,2965,,6,4,
42739,11973,,9,2,
42739,56938,,12,5,
42739,3887,,7,,
42739,53903,,9,3,
42739,12695,,12,3,
42739,2109,,13,3,
42739,6249,,10,,
42739,11727,,23,,
42739,6304,,29,7,
42739,57962,,12,5,
42739,5586,,2,,
42739,25515,,28,4,
42739,56808,,7,4,
42739,13755,,7,2,
42740,53171,,3,2,
42740,5543,,3,2,
42740,11725,,5,5,
42740,13846,,4,2,
42740,58312,,2,2,
42740,5530,,19,4,
42740,11734,,5,2,
42740,52399,,6,4,
42740,12108,,13,8,
42740,54479,,3,,
42740,52863,,7,4,
42740,51568,,30,6,
42740,11726,,15,3,
42740,6351,,5,2,
42740,54593,,20,5,
42740,55567,,,2,
42740,58414,,20,8,
42740,53216,,10,7,
42740,11958,,8,3,
42740,22985,,7,5,
42740,16462,,15,5,
42740,55422,,15,,
42740,15553,,7,,
42740,53730,,10,,
42740,13495,,3,1,
42740,1707,,12,6,
42740,6357,,3,2,
42740,3896,,8,5,
42740,52444,,12,2,
42740,3816,,28,5,
42740,55557,,9,7,
42740,1688,,2,1,
42740,12115,,5,,
42740,3893,,7,3,
42740,51725,,16,12,
42740,2036,,10,3,
42740,2021,,19,6,
42740,11703,,10,8,
42740,55420,,16,3,
42740,59213,,9,3,
42740,13814,,4,3,
42740,6259,,15,2,
42740,2698,,8,2,
42740,11709,,5,,
42740,2989,,4,3,
42740,12105,,5,3,
42740,53221,,9,6,
42740,1690,,5,2,
42740,2098,,8,5,
42740,12114,,5,,
42740,6264,,4,3,
42740,2692,,5,,
42740,56388,,3,3,
42740,25555,,10,3,
42740,5589,,7,2,
42740,57273,,10,6,
42740,11731,,10,,
42740,11723,,3,,
42740,12052,,6,5,
42740,2138,,6,2,
42740,25510,,6,4,
42740,6447,,4,3,
42740,1678,,17,3,
42740,6377,,6,3,
42740,12060,,2,2,
42740,3543,,10,,
42740,2672,,3,1,
42740,2070,,6,2,
42740,11766,,10,8,
42740,52474,,19,15,
42740,52474,,36,,
42740,57601,,6,2,
42740,13833,,8,2,
42740,6203,,4,2,
42740,1717,,8,4,
42740,25501,,20,16,
42740,6216,,32,4,
42740,12117,,15,6,
42740,22960,,25,,
42740,57208,,5,4,
42740,3465,,20,7,
42740,2974,,8,4,
42740,25534,,15,6,
42740,6338,,3,5,
42740,3894,,20,5,
42740,57007,,23,3,
42740,3809,,1,1,
42740,6231,,8,5,
42740,53514,,3,3,
42740,6257,,2,2,
42740,11713,,10,5,
42740,22932,,20,8,
42740,51516,,5,1,
42740,3842,,9,5,
42740,59058,,4,3,
42740,1671,,8,4,
42740,1718,,10,6,
42740,51700,,8,4,
42740,5868,,6,2,
42740,53242,,2,4,
42740,51226,,2,,
42740,2030,,6,2,
42740,3835,,6,1,
42740,52494,,11,2,
42740,57598,,4,5,
42740,16435,,4,3,
42740,51024,,8,7,
42740,3817,,10,2,
42740,51740,,8,5,
42740,1968,,22,10,
42740,55360,,15,7,
42740,53493,,3,1,
42740,54385,,7,2,
42740,52889,,6,1,
42740,6408,,3,2,
42740,52438,,10,2,
42740,52982,,17,8,
42740,22974,,12,1,
42740,52510,,9,6,
42740,56778,,12,5,
42740,51755,,5,2,
42740,54341,,8,4,
42740,3838,,19,5,
42740,6248,,5,3,
42740,1784,,5,3,
42740,1743,,3,2,
42740,55973,,4,3,
42740,55973,,5,5,
42740,13825,,2,,
42740,13792,,3,,
42740,1658,,,,
42740,56581,,9,3,
42740,2970,,4,,
42740,13823,,15,,
42740,2939,,24,5,
42740,22983,,4,2,
42740,15523,,7,5,
42740,13856,,2,1,
42740,13810,,2,2,
42740,12113,,21,7,
42740,3853,,4,3,
42740,2996,,7,5,
42740,15548,,15,10,
42740,6334,,15,5,
42740,25542,,8,3,
42740,13820,,24,12,
42740,13840,,20,,
42740,3851,,8,6,
42740,6290,,10,6,
42740,13862,,25,11,
42740,22967,,4,3,
42740,5805,,7,6,
42740,1772,,4,,
42740,3831,,13,6,
42740,11728,,7,3,
42740,2990,,6,4,
42740,1971,,10,4,
42740,13527,,12,7,
42740,57411,,,2,
42740,2062,,4,1,
42740,12072,,7,4,
42740,22984,,4,2,
42740,2142,,2,2,
42740,25575,,5,3,
42740,2143,,12,5,
42740,11719,,20,3,
42740,52431,,5,2,
42740,5548,,7,7,
42740,3793,,5,2,
42740,2024,,6,2,
42740,22966,,5,1,
42740,1762,,4,4,
42740,2945,,6,2,
42740,11751,,14,3,
42740,58000,,3,1,
42740,11750,,7,4,
42740,12107,,7,2,
42740,57595,,6,3,
42740,2094,,13,2,
42740,6366,,4,2,
42740,25571,,6,3,
42740,51704,,14,2,
42740,2113,,6,,
42740,11973,,8,2,
42740,25517,,,2,
42740,56248,,3,,
42740,5505,,12,7,
42740,6210,,22,10,
42740,6224,,16,6,
42740,6244,,10,4,
42740,6358,,30,2,
42740,56425,,8,,
42740,22979,,13,6,
42740,22968,,5,,
42740,2994,,18,,
42740,22963,,8,3,
42740,6373,,14,10,
42740,22959,,11,4,
42740,2109,,6,5,
42740,22980,,4,2,
42740,2074,,21,4,
42740,56756,,10,3,
42740,12942,,4,2,
42740,6249,,17,,
42740,25548,,9,9,
42740,6337,,7,5,
42740,11748,,3,1,
42740,6297,,5,3,
42740,11971,,8,3,
42740,13755,,10,4,
42740,6219,,10,8,
42740,5591,,10,3,
42740,6255,,15,2,
42742,1676,,15,3,
42742,11734,,5,1,
42742,1955,,5,2,
42742,51568,,30,6,
42742,53667,,12,7,
42742,13859,,6,2,
42742,3496,,25,12,
42742,56835,,30,,
42742,6357,,5,2,
42742,12103,,10,5,
42742,1688,,3,1,
42742,1736,,3,,
42742,55817,,3,3,
42742,22982,,8,5,
42742,6466,,3,2,
42742,12114,,7,5,
42742,2692,,3,4,
42742,5535,,8,5,
42742,1678,,22,5,
42742,52474,,24,12,
42742,13501,,7,3,
42742,25501,,30,6,
42742,11745,,25,10,
42742,2141,,8,4,
42742,6416,,8,6,
42742,13855,,15,12,
42742,53490,,10,2,
42742,3809,,1,1,
42742,6403,,10,5,
42742,22932,,36,,
42742,22932,,12,20,
42742,22973,,13,3,
42742,1718,,16,4,
42742,1694,,5,3,
42742,16435,,9,3,
42742,3817,,10,4,
42742,52889,,7,,
42742,6408,,6,4,
42742,53206,,,1,
42742,52410,,6,3,
42742,22981,,6,3,
42742,6248,,,2,
42742,56381,,5,5,
42742,2700,,5,1,
42742,13792,,3,2,
42742,1658,,7,,
42742,1693,,5,2,
42742,6370,,3,2,
42742,52652,,10,6,
42742,55642,,7,3,
42742,1727,,4,3,
42742,13820,,28,8,
42742,13840,,10,,
42742,25565,,7,,
42742,5536,,5,5,
42742,5588,,4,4,
42742,2961,,10,4,
42742,55949,,10,4,
42742,3777,,5,2,
42742,6359,,3,1,
42742,11719,,8,,
42742,12107,,6,4,
42742,25517,,3,2,
42742,12967,,3,2,
42742,2994,,10,10,
42742,6249,,20,15,
42742,6337,,7,5,
42742,6304,,29,,
42742,57962,,9,7,
42742,5586,,2,2,
42742,11964,,4,3,
42744,53171,,4,2,
42744,5543,,3,2,
