Data,Cod. PV,GBLU,GAS,BSP,
43102,53171,,2,2,
43102,11725,,25,8,
43102,13846,,10,5,
43102,1676,,10,4,
43102,5530,,14,6,
43102,11734,,5,2,
43102,1955,,5,,
43102,12108,,9,6,
43102,54479,,4,1,
43102,1964,,4,2,
43102,51568,,26,5,
43102,6351,,7,2,
43102,55702,,8,7,
43102,54593,,16,2,
43102,13859,,6,2,
43102,55567,,2,1,
43102,53216,,9,6,
43102,3496,,22,12,
43102,22985,,5,5,
43102,16462,,15,3,
43102,11975,,4,,
43102,55422,,15,5,
43102,6204,,4,2,
43102,6357,,5,1,
43102,52444,,28,4,
43102,3816,,20,6,
43102,53306,,5,2,
43102,12115,,4,1,
43102,3893,,3,2,
43102,51725,,,1,
43102,51725,,15,8,
43102,3550,,15,6,
43102,2036,,4,2,
43102,1736,,6,3,
43102,11703,,5,5,
43102,6259,,15,8,
43102,2698,,6,4,
43102,16447,3,,,
43102,2989,,4,2,
43102,55817,,8,3,
43102,22982,,7,4,
43102,12105,,4,2,
43102,6466,,3,2,
43102,12073,,2,2,
43102,1690,,3,,
43102,12103,,11,3,
43102,2098,,8,3,
43102,12114,,15,7,
43102,6264,,3,2,
43102,2946,,7,5,
43102,56388,,6,2,
43102,57273,,12,4,
43102,1787,,4,,
43102,11731,,16,2,
43102,13763,,6,3,
43102,2667,,4,3,
43102,11723,,3,,
43102,12052,,7,5,
43102,2138,,4,1,
43102,1678,,15,3,
43102,2053,,8,2,
43102,2111,,16,6,
43102,3777,,,,
43102,2686,,4,4,
43102,2672,,3,1,
43102,16454,,5,,
43102,57601,,9,3,
43102,6203,,,,
43102,56554,,14,5,
43102,25501,,28,8,
43102,12117,,8,3,
43102,2141,,9,5,
43102,6437,,8,4,
43102,57842,,,,
43102,55905,,15,6,
43102,2974,,10,4,
43102,25534,,10,4,
43102,6416,,9,7,
43102,6338,,1,5,
43102,3894,,,,
43102,13855,,16,9,
43102,53490,,18,3,
43102,53514,,3,3,
43102,6257,,,1,
43102,55942,,2,2,
43102,2075,,9,4,
43102,5543,,4,3,
43102,6403,,15,5,
43102,3842,,7,5,
43102,22973,,16,3,
43102,1718,,7,,
43102,51700,,9,,
43102,6369,,3,,
43102,51226,,5,,
43102,51226,,5,,
43102,53242,,6,4,
43102,5868,,6,5,
43102,52494,,12,5,
43102,57598,,7,3,
43102,16435,,6,2,
43102,51024,,6,4,
43102,3817,,6,2,
43102,57973,,19,10,
43102,51740,,6,5,
43102,2718,,5,4,
43102,1968,,16,6,
43102,55360,,8,4,
43102,16408,,6,2,
43102,52889,,4,1,
43102,6408,,6,3,
43102,52410,,8,3,
43102,52438,,20,2,
43102,52982,,18,6,
43102,25549,,36,,
43102,52510,,12,6,
43102,12101,,14,3,
43102,56778,,10,4,
43102,52082,,2,1,
43102,51755,,5,1,
43102,54341,,4,4,
43102,6376,,12,4,
43102,13535,,15,5,
43102,6248,,7,3,
43102,56381,,6,4,
43102,6292,,6,4,
43102,1743,,5,3,
43102,2700,,3,,
43102,2654,,10,4,
43102,22963,,9,4,
43102,55973,,5,5,
43102,13825,,2,1,
43102,13792,,11,3,
43102,2656,,7,2,
43102,1658,,12,,
43102,13823,,15,,
43102,1693,,4,2,
43102,22983,,4,2,
43102,15523,,7,3,
43102,6370,,5,3,
43102,52652,,8,3,
43102,51733,,15,6,
43102,2716,,2,1,
43102,13810,,4,2,
43102,3762,,,,
43102,3853,,7,4,
43102,55602,,4,2,
43102,2996,,7,4,
43102,6337,,8,6,
43102,6334,,15,5,
43102,54498,,10,,
43102,2690,,6,2,
43102,1727,,8,4,
43102,25542,,11,2,
43102,13820,,30,6,
43102,13840,,12,3,
43102,25554,,24,8,
43102,3851,,6,5,
43102,2702,,11,7,
43102,11749,,10,7,
43102,22967,,8,4,
43102,22975,,15,4,
43102,5805,,3,2,
43102,3487,,4,3,
43102,3831,,13,4,
43102,2990,,6,3,
43102,25565,,12,2,
43102,5536,,12,14,
43102,5588,,15,,
43102,12693,,8,3,
43102,1971,,11,3,
43102,54252,,21,2,
43102,13527,,11,7,
43102,2662,,8,2,
43102,5591,,4,2,
43102,2062,,5,3,
43102,12072,,2,2,
43102,22984,,3,2,
43102,2142,,6,6,
43102,6359,,2,1,
43102,25575,,10,4,
43102,2143,,15,5,
43102,11719,,10,2,
43102,52431,,4,3,
43102,5548,,6,6,
43102,3793,,8,3,
43102,2024,,5,2,
43102,22966,,7,3,
43102,1762,,3,2,
43102,53958,,5,2,
43102,2945,,3,1,
43102,2023,,7,4,
43102,12107,,9,5,
43102,57595,,6,4,
43102,2094,,16,8,
43102,6366,,6,3,
43102,25571,,12,6,
43102,51704,,10,2,
43102,2113,,3,,
43102,11973,,7,2,
43102,56938,,12,4,
43102,6224,,5,2,
43102,2097,,2,,
43102,3887,,11,3,
43102,22979,,17,8,
43102,1688,,5,2,
43102,53903,,10,2,
43102,13857,,6,4,
43102,22968,,12,,
43102,2994,,7,,
43102,57605,,5,,
43102,2109,,15,5,
43102,2074,,10,,
43102,6249,,20,7,
43102,25548,,5,4,
43102,11727,,10,2,
43102,15501,,10,5,
43102,6304,,22,7,
43102,6304,,5,2,
43102,56057,,8,8,
43102,5586,,1,,
43102,25515,,30,3,
43102,11971,,6,2,
43102,13755,,8,2,
43103,1676,3,6,,
43103,58312,,2,1,
43103,5530,6,8,,
43103,54479,,4,,
43103,51568,11,7,18,
43103,54593,5,,,
43103,6270,2,,,
43103,13859,2,,,
43103,58414,4,20,4,
43103,56835,,32,5,
43103,55422,3,15,,
43103,6357,2,,,
43103,6204,2,3,,
43103,3896,6,,,
43103,52444,4,,,
43103,56011,4,,,
43103,3825,3,,,
43103,55557,4,12,7,
43103,53306,4,,,
43103,3893,3,2,,
43103,51725,4,,,
43103,57606,3,10,3,
43103,2021,5,15,4,
43103,59213,2,8,4,
43103,16447,3,18,5,
43103,6466,2,,,
43103,53221,4,10,8,
43103,12073,2,,,
43103,1690,2,,,
43103,6264,2,3,2,
43103,2692,,6,2,
43103,56388,4,,,
43103,2667,2,5,3,
43103,5535,,8,4,
43103,25556,,8,,
43103,2138,2,,,
43103,25510,2,8,5,
43103,6447,2,,,
43103,1678,10,13,3,
43103,3777,2,7,1,
43103,2686,3,,,
43103,12060,3,,,
43103,11766,4,14,2,
43103,52474,8,28,,
43103,57601,3,11,3,
43103,13501,,,6,
43103,5529,4,7,9,
43103,6203,2,3,2,
43103,25501,6,30,,
43103,2052,6,20,8,
43103,11745,7,20,10,
43103,54380,,15,,
43103,12112,,30,6,
43103,22960,3,20,2,
43103,16445,2,8,2,
43103,6303,3,5,2,
43103,6437,4,,,
43103,57842,4,3,,
43103,5579,5,,,
43103,57208,5,15,8,
43103,52420,2,7,3,
43103,57835,5,20,6,
43103,3894,,3,,
43103,53490,,5,,
43103,57007,5,23,2,
43103,53514,2,4,2,
43103,51516,3,12,4,
43103,59058,3,,,
43103,16444,8,16,7,
43103,6428,4,10,5,
43103,5868,4,,,
43103,3835,,4,2,
43103,1694,2,3,1,
43103,16435,3,7,4,
43103,51024,,5,2,
43103,5514,5,21,10,
43103,3817,4,,,
43103,2718,4,,,
43103,1968,5,3,2,
43103,6408,3,7,3,
43103,52889,2,3,,
43103,54484,,20,,
43103,51743,4,6,8,
43103,12101,4,,,
43103,52510,3,,,
43103,56778,4,,,
43103,52082,,2,,
43103,51755,,5,1,
43103,54341,3,,,
43103,1784,1,8,,
43103,1743,2,,,
43103,22963,4,,,
43103,55973,2,5,,
43103,13792,,2,,
43103,2656,3,7,,
43103,56581,2,8,2,
43103,2970,,6,3,
43103,13823,2,21,2,
43103,1693,2,2,2,
43103,2939,,17,3,
43103,13856,,2,1,
43103,13810,1,2,1,
43103,3762,8,14,6,
43103,55602,2,,,
43103,3853,4,2,,
43103,15548,5,,,
43103,6411,2,4,4,
43103,55642,3,4,2,
43103,54498,,10,1,
43103,13840,5,12,,
43103,13820,10,20,6,
43103,25554,8,20,8,
43103,56193,2,10,3,
43103,2702,8,,,
43103,13862,5,,,
43103,5805,7,,,
43103,11728,2,8,2,
43103,2990,4,,,
43103,2961,2,4,2,
43103,12939,2,2,,
