Data,Giorno Settimana,Peso
42370,6,0
42371,7,0.5
42372,1,1
42373,2,0
42374,3,0
42375,4,0
42376,5,0
42377,6,0
42378,7,0.5
42379,1,1
42380,2,0
42381,3,0
42382,4,0
42383,5,0
42384,6,0
42385,7,0.5
42386,1,1
42387,2,0
42388,3,0
42389,4,0
42390,5,0
42391,6,0
42392,7,0.5
42393,1,1
42394,2,0
42395,3,0
42396,4,0
42397,5,0
42398,6,0
42399,7,0.5
42400,1,1
42401,2,0
42402,3,0
42403,4,0
42404,5,0
42405,6,0
42406,7,0.5
42407,1,1
42408,2,0
42409,3,0
42410,4,0
42411,5,0
42412,6,0
42413,7,0.5
42414,1,1
42415,2,0
42416,3,0
42417,4,0
42418,5,0
42419,6,0
42420,7,0.5
42421,1,1
42422,2,0
42423,3,0
42424,4,0
42425,5,0
42426,6,0
42427,7,0.5
42428,1,1
42429,2,0
42430,3,0
42431,4,0
42432,5,0
42433,6,0
42434,7,0.5
42435,1,1
42436,2,0
42437,3,0
42438,4,0
42439,5,0
42440,6,0
42441,7,0.5
42442,1,1
42443,2,0
42444,3,0
42445,4,0
42446,5,0
42447,6,0
42448,7,0.5
42449,1,1
42450,2,0
42451,3,0
42452,4,0
42453,5,0
42454,6,0
42455,7,0.5
42456,1,1
42457,2,0
42458,3,0
42459,4,0
42460,5,0
42461,6,0
42462,7,0.5
42463,1,1
42464,2,0
42465,3,0
42466,4,0
42467,5,0
42468,6,0
42469,7,0.5
42470,1,1
42471,2,0
42472,3,0
42473,4,0
42474,5,0
42475,6,0
42476,7,0.5
42477,1,1
42478,2,0
42479,3,0
42480,4,0
42481,5,0
42482,6,0
42483,7,0.5
42484,1,1
42485,2,0
42486,3,0
42487,4,0
42488,5,0
42489,6,0
42490,7,0.5
42491,1,1
42492,2,0
42493,3,0
42494,4,0
42495,5,0
42496,6,0
42497,7,0.5
42498,1,1
42499,2,0
42500,3,0
42501,4,0
42502,5,0
42503,6,0
42504,7,0.5
42505,1,1
42506,2,0
42507,3,0
42508,4,0
42509,5,0
42510,6,0
42511,7,0.5
42512,1,1
42513,2,0
42514,3,0
42515,4,0
42516,5,0
42517,6,0
42518,7,0.5
42519,1,1
42520,2,0
42521,3,0
42522,4,0
42523,5,0
42524,6,0
42525,7,0.5
42526,1,1
42527,2,0
42528,3,0
42529,4,0
42530,5,0
42531,6,0
42532,7,0.5
42533,1,1
42534,2,0
42535,3,0
42536,4,0
42537,5,0
42538,6,0
42539,7,0.5
42540,1,1
42541,2,0
42542,3,0
42543,4,0
42544,5,0
42545,6,0
42546,7,0.5
42547,1,1
42548,2,0
42549,3,0
42550,4,0
42551,5,0
42552,6,0
42553,7,0.5
42554,1,1
42555,2,0
42556,3,0
42557,4,0
42558,5,0
42559,6,0
42560,7,0.5
42561,1,1
42562,2,0
42563,3,0
42564,4,0
42565,5,0
42566,6,0
42567,7,0.5
42568,1,1
42569,2,0
42570,3,0
42571,4,0
42572,5,0
42573,6,0
42574,7,0.5
42575,1,1
42576,2,0
42577,3,0
42578,4,0
42579,5,0
42580,6,0
42581,7,0.5
42582,1,1
42583,2,0
42584,3,0
42585,4,0
42586,5,0
42587,6,0
42588,7,0.5
42589,1,1
42590,2,0
42591,3,0
42592,4,0
42593,5,0
42594,6,0
42595,7,0.5
42596,1,1
42597,2,0
42598,3,0
42599,4,0
42600,5,0
42601,6,0
42602,7,0.5
42603,1,1
42604,2,0
42605,3,0
42606,4,0
42607,5,0
42608,6,0
42609,7,0.5
42610,1,1
42611,2,0
42612,3,0
42613,4,0
42614,5,0
42615,6,0
42616,7,0.5
42617,1,1
42618,2,0
42619,3,0
42620,4,0
42621,5,0
42622,6,0
42623,7,0.5
42624,1,1
42625,2,0
42626,3,0
42627,4,0
42628,5,0
42629,6,0
42630,7,0.5
42631,1,1
42632,2,0
42633,3,0
42634,4,0
42635,5,0
42636,6,0
42637,7,0.5
42638,1,1
42639,2,0
42640,3,0
42641,4,0
42642,5,0
42643,6,0
42644,7,0.5
42645,1,1
42646,2,0
42647,3,0
42648,4,0
42649,5,0
42650,6,0
42651,7,0.5
42652,1,1
42653,2,0
42654,3,0
42655,4,0
42656,5,0
42657,6,0
42658,7,0.5
42659,1,1
42660,2,0
42661,3,0
42662,4,0
42663,5,0
42664,6,0
42665,7,0.5
42666,1,1
42667,2,0
42668,3,0
42669,4,0
42670,5,0
42671,6,0
42672,7,0.5
42673,1,1
42674,2,0
42675,3,0
42676,4,0
42677,5,0
42678,6,0
42679,7,0.5
42680,1,1
42681,2,0
42682,3,0
42683,4,0
42684,5,0
42685,6,0
42686,7,0.5
42687,1,1
42688,2,0
42689,3,0
42690,4,0
42691,5,0
42692,6,0
42693,7,0.5
42694,1,1
42695,2,0
42696,3,0
42697,4,0
42698,5,0
42699,6,0
42700,7,0.5
42701,1,1
42702,2,0
42703,3,0
42704,4,0
42705,5,0
42706,6,0
42707,7,0.5
42708,1,1
42709,2,0
42710,3,0
42711,4,0
42712,5,0
42713,6,0
42714,7,0.5
42715,1,1
42716,2,0
42717,3,0
42718,4,0
42719,5,0
42720,6,0
42721,7,0.5
42722,1,1
42723,2,0
42724,3,0
42725,4,0
42726,5,0
42727,6,0
42728,7,0.5
42729,1,1
42730,2,0
42731,3,0
42732,4,0
42733,5,0
42734,6,0
42735,7,0.5
42736,1,1
42737,2,0
42738,3,0
42739,4,0
42740,5,0
42741,6,0
42742,7,0.5
42743,1,1
42744,2,0
42745,3,0
42746,4,0
42747,5,0
42748,6,0
42749,7,0.5
42750,1,1
42751,2,0
42752,3,0
42753,4,0
42754,5,0
42755,6,0
42756,7,0.5
42757,1,1
42758,2,0
42759,3,0
42760,4,0
42761,5,0
42762,6,0
42763,7,0.5
42764,1,1
42765,2,0
42766,3,0
42767,4,0
42768,5,0
42769,6,0
42770,7,0.5
42771,1,1
42772,2,0
42773,3,0
42774,4,0
42775,5,0
42776,6,0
42777,7,0.5
42778,1,1
42779,2,0
42780,3,0
42781,4,0
42782,5,0
42783,6,0
42784,7,0.5
42785,1,1
42786,2,0
42787,3,0
42788,4,0
42789,5,0
42790,6,0
42791,7,0.5
42792,1,1
42793,2,0
42794,3,0
42795,4,0
42796,5,0
42797,6,0
42798,7,0.5
42799,1,1
42800,2,0
42801,3,0
42802,4,0
42803,5,0
42804,6,0
42805,7,0.5
42806,1,1
42807,2,0
42808,3,0
42809,4,0
42810,5,0
42811,6,0
42812,7,0.5
42813,1,1
42814,2,0
42815,3,0
42816,4,0
42817,5,0
42818,6,0
42819,7,0.5
42820,1,1
42821,2,0
42822,3,0
42823,4,0
42824,5,0
42825,6,0
42826,7,0.5
42827,1,1
42828,2,0
42829,3,0
42830,4,0
42831,5,0
42832,6,0
42833,7,0.5
42834,1,1
42835,2,0
42836,3,0
42837,4,0
42838,5,0
42839,6,0
42840,7,0.5
42841,1,1
42842,2,0
42843,3,0
42844,4,0
42845,5,0
42846,6,0
42847,7,0.5
42848,1,1
42849,2,0
42850,3,0
42851,4,0
42852,5,0
42853,6,0
42854,7,0.5
42855,1,1
42856,2,0
42857,3,0
42858,4,0
42859,5,0
42860,6,0
42861,7,0.5
42862,1,1
42863,2,0
42864,3,0
42865,4,0
42866,5,0
42867,6,0
42868,7,0.5
42869,1,1
42870,2,0
42871,3,0
42872,4,0
42873,5,0
42874,6,0
42875,7,0.5
42876,1,1
42877,2,0
42878,3,0
42879,4,0
42880,5,0
42881,6,0
42882,7,0.5
42883,1,1
42884,2,0
42885,3,0
42886,4,0
42887,5,0
42888,6,0
42889,7,0.5
42890,1,1
42891,2,0
42892,3,0
42893,4,0
42894,5,0
42895,6,0
42896,7,0.5
42897,1,1
42898,2,0
42899,3,0
42900,4,0
42901,5,0
42902,6,0
42903,7,0.5
42904,1,1
42905,2,0
42906,3,0
42907,4,0
42908,5,0
42909,6,0
42910,7,0.5
42911,1,1
42912,2,0
42913,3,0
42914,4,0
42915,5,0
42916,6,0
42917,7,0.5
42918,1,1
42919,2,0
42920,3,0
42921,4,0
42922,5,0
42923,6,0
42924,7,0.5
42925,1,1
42926,2,0
42927,3,0
42928,4,0
42929,5,0
42930,6,0
42931,7,0.5
42932,1,1
42933,2,0
42934,3,0
42935,4,0
42936,5,0
42937,6,0
42938,7,0.5
42939,1,1
42940,2,0
42941,3,0
42942,4,0
42943,5,0
42944,6,0
42945,7,0.5
